,Fuel Type,,Mileage,,Manual,,Hickory Brown,Options,,Citroen,,Transmission,200 Km,504542,,Petrol,,2015 Citroen DS5 1.6 Thp Sport (147kw),New,,R 349 990,Balance of 5yr/100000km S/Plan Balance of 3yr/100000km factory warranty. Finance available. Trade-In's welcome. Please contact our used car department for any assistance. Lee 081 329 9081 or Sixolile 076 724 4798 or Russell 076 287 5852,Gauteng,2016/07/26,Colour,,Area,Year,2015,,Car id,Citroen DS5,,Condition
,Fuel Type,,Mileage,,Manual,,Gelena Grey,Options,,Citroen,,Transmission,100 Km,504541,,Petrol,,2015 Citroen DS5 1.6 Thp Sport (147kw),New,,R 349 990,Balance of 5yr or 60000km Motor Plan Balance of 3yr or 100000km factory warranty. Finance available. Trade ins welcome. Please contact our New cars department for any assistance.012 432 0700,Gauteng,2016/07/26,Colour,,Area,Year,2015,,Car id,Citroen DS5,,Condition
,Options,,Mileage,,Petrol,,Manual,Area,,Citroen,,Fuel Type,45 000 Km,,,"Air conditioner, Electric Windows, Radio, AUX, CD Player,  Air Bags, Side Impact Protection, Central Locking, On Board Computer, cloth interior, Security System, Immobiliser, Power Steering, Impact Tensioning Seat Belts, Brakes, abs, ebd, Air Bag - Detaildriver, passenger, Hi Level Brake Light,                                                                                     ,
                                                                                                                                                        Please enquire regarding additional service plans and warranties. Please complete the online enquiry form for a sales person to contact you. Finance can be arranged. Test drives welcome. Trade ins accepted. Valid SA drivers license required. Price excludes on the road costs and license and registration. Fury Motor Group - Doing the Right Thing!",,2014 Citroen C1 1.0i Attraction,White,,R 79 950,Gauteng,US1065,2016/07/26,Transmission,,Car id,Year,2014,,,Citroen C1,,Colour
,Options,,Mileage,,Petrol,,Manual,Area,,Citroen,,Fuel Type,67 200 Km,,,"The vehicle has the following features. ABS, air conditioner, power steering, radio/CD Player, alloys, electric windows and electric mirrors. 
This used vehicle is for sale at Barons Tokai in Cape Town.",,2011 Citroen C3 Picasso 1.6 Vti Seduction,White,,R 99 950,Western Cape,U19429,2016/07/26,Transmission,,Car id,Year,2011,,,Citroen C3,,Colour
,Options,,Mileage,,Manual,,Grey,Area,,Citroen,,Transmission,158 116 Km,,,"VERY GOOD CONDITION VEHICLE
CD/RADIO, AIRCON, POWER STEERING, ELECTRIC WINDOWS, CENTRAL LOCKING, AIRBAGS
PLEASE CONTACT THINUS - 078 151 2334 OR BENNIE - 082 081 9668
TERMS AND CONDITIONS APPLY",,2007 Citroen Picasso 1.6 Hdi,Excellent,,R 69 950,Gauteng,FF49TGGP,2016/07/26,Colour,,Car id,Year,2007,,,Citroen Picasso,,Condition
,Options,,Mileage,,Petrol,,Automatic,Area,,Citroen,,Fuel Type,70 000 Km,,,"Air conditioner, power steering, Airbags, ABS, Radio CD player with Bluetooth, Electric Windows, Steering controls, Fog lights, colour coded handles, Alloy wheels, cruise control, USB I Pod connectivity,                                                                                     ,
                                                                                                                                                        low millage with optional 2 year unlimited millage warranty available.",,2012 Citroen C4 1.6 Thp Exclusive A/t,White,,R 169 950,Gauteng,517949,2016/07/26,Transmission,,Car id,Year,2012,,,Citroen C4,,Colour
,Fuel Type,,Mileage,,Automatic,,pearlescent White,Options,,Citroen,,Transmission,84 000 Km,N/A,,Petrol,,2013 Citroen DS4 DS4 1.6 THP 160 Auto Sport,Excellent,,R 179 950,"ABS, Air bags, Alarm, Climate control, Cruise control, Electric Windows, Full service record, Leather seats, Park distance control, Radio                                                                                    ,
                                                                                                                                                        Panoramic Windscreen, Mag Wheels Peugeot Citroen Westrand 011 958 0540",Gauteng,2016/07/26,Colour,,Area,Year,2013,,Car id,Citroen DS4,,Condition
,Fuel Type,,Mileage,,Manual,,silver,Options,,Citroen,,Transmission,100 Km,N/A,,Petrol,,2015 Citroen C4 1.6 VTI 120 Seduction,New,,R 189 950,"ABS, Air bags, Aircon, Alarm, Climate control, Cruise control, Electric Windows                                                                                    ,
                                                                                                                                                        Balance of 3 year 100000km Warranty and 5 year 100000 km service plan Peugeot Citroen Westrand 011 958 0540",Gauteng,2016/07/26,Colour,,Area,Year,2015,,Car id,Citroen C4,,Condition
,Fuel Type,,Mileage,,Manual,,Red,Options,,Citroen,,Transmission,75 000 Km,N/A,,Petrol,,2011 Citroen DS3 1.6 Thp Sport 3dr,Excellent,,R 144 950,"ABS, Air bags, Alarm, Climate control, Cruise control, Electric Windows, Full service record, Park distance control, Radio                                                                                    ,
                                                                                                                                                        Brilliant little hot hatch Peugeot Citroen Westrand 011 958 0540",Gauteng,2016/07/26,Colour,,Area,Year,2011,,Car id,Citroen DS3,,Condition
,Fuel Type,,Mileage,,Manual,,pearlescent White,Options,,Citroen,,Transmission,100 Km,N/A,,Petrol,,2016 Citroen C4 C4 Cactus 1.2t Puretech Shine 81 kw,New,,R 249 950,"ABS, Air bags, Alarm, Climate control, Cruise control, Electric Windows, Park distance control, Radio, Sat nav                                                                                    ,
                                                                                                                                                        2016 Demo Model delivery mileage
Peugeot Citroen Westrand 011 958 0540",Gauteng,2016/07/26,Colour,,Area,Year,2016,,Car id,Citroen C4,,Condition
,Fuel Type,,Mileage,,Automatic,,Yellow,Options,,Citroen,,Transmission,39 000 Km,N/A,,Petrol,,2013 Citroen DS3 1.6 Vti Techno A/t,Excellent,,R 139 990,"Full service record                                                                                    ,
                                                                                                                                                        Aircon, Radio/CD/MP3, Power Steering, Airbags, ABS, Central Locking, Cruise Control, Electric Windows/Mirrors, Mags, Balance Of Service Plan 4 Years or 60 000km, Nationwide delivery, Trade-ins accepted, AA 101 Multi-Point check, Finance & Insurance Arranged With All Major Banks, Contact: 031 368 3997 Shaun: 082 785 6217, Siphiwe: 0741172060 Ash: 073 2711 736 Sienie: 079 395 1866 Kaitlyn: 078 149 6066 Mike: 074 668 9264",Kwazulu Natal,2016/07/26,Colour,,Area,Year,2013,,Car id,Citroen DS3,,Condition
,Fuel Type,,Mileage,,Manual,,ink blue,Options,,Citroen,,Transmission,35 000 Km,N/A,,Petrol,,2013 Citroen C3 1.6 VTi 120 Seduction,Excellent,,R 139 950,"ABS, Air bags, Aircon, Alarm, Electric Windows, Radio                                                                                    ,
                                                                                                                                                        balance of 4 year 60000 km service plan
Peugeot Citroen Westrand 011 958 0540",Gauteng,2016/07/26,Colour,,Area,Year,2013,,Car id,Citroen C3,,Condition
,Fuel Type,,Mileage,,Manual,,White,Options,,Citroen,,Transmission,100 Km,N/A,,Diesel,,2016 Citroen Relay 3.0 HDI L4 H2 Panelvan,New,,R 379 950,"ABS, Air bags, Alarm                                                                                    ,
                                                                                                                                                        Factory Demo delivery Mileage Peugeot Citroen Westrand 011 958 0540",Gauteng,2016/07/26,Colour,,Area,Year,2016,,Car id,Citroen Relay,,Condition
,Fuel Type,,Mileage,,Manual,,White,Options,,Citroen,,Transmission,100 Km,N/A,,Diesel,,2016 Citroen Relay 2.2 HDI L3 H2 Panelvan,New,,R 309 950,"ABS, Air bags, Alarm                                                                                    ,
                                                                                                                                                        Factory Demo unregistered delivery mileage
Peugeot Citroen Westrand 011 958 0540",Gauteng,2016/07/26,Colour,,Area,Year,2016,,Car id,Citroen Relay,,Condition
,Fuel Type,,Mileage,,Automatic,,silver,Options,,Citroen,,Transmission,92 000 Km,N/A,,Petrol,,2012 Citroen DS5 1.6 THP 155 Auto Style,Excellent,,R 199 950,"ABS, Air bags, Alarm, Climate control, Cruise control, Electric Windows, Full service record, Leather seats, Park distance control, Radio                                                                                    ,
                                                                                                                                                        Panoramic Roof, New Tyres, just been serviced
Peugeot Citroen Westrand 011 958 0540",Gauteng,2016/07/26,Colour,,Area,Year,2012,,Car id,Citroen DS5,,Condition
,Area,,Year,,"ABS, Air bags, Aircon, Alarm, Climate control, Cruise control, Electric Windows, Radio, Sat nav                                                                                    ,
                                                                                                                                                        Unregistered with no mileage almost new a real bargain worth every cent...please contact me on 0793078540 SELLO RAMMALA",,Petrol,Car id,,Citroen,,Options,2016,,,Gauteng,,2016 Citroen C4 Cactus 1.2t Puretech Feel (81kw),Manual,,R 239 900,20160615,,2016/07/26,Fuel Type,,,Colour,YELLOW,,,Citroen C4,,Transmission
,Options,,Mileage,,Diesel,,Manual,Area,,Citroen,,Fuel Type,192 000 Km,,,"Exceptional value for money buy!
Aircon
Power steering
Remote Central Locking
Air Bags
Full Service History ,don\'t loose out on this diesel power pocket!
24492
 
Exceptional value for money buy!
Aircon
Power steering
Remote Central Locking
Air Bags
Full Service History ,don\'t loose out on this diesel power pocket!
24492",,2007 Citroen C2 1.4 Hdi,Black,,R 54 995,Gauteng,U24492,2016/07/26,Transmission,,Car id,Year,2007,,,Citroen C2,,Colour
,Fuel Type,,Mileage,,Manual,,Blue,Options,,Citroen,,Transmission,8 146 Km,9449,,Petrol,,2013 Citroen C1 1.0i Seduction,Excellent,,R 119 900,"Aircon, Electric Windows, Full service record, Radio                                                                                    ,
                                                                                                                                                        Call Hantie 072 451 5954",Gauteng,2016/07/26,Colour,,Area,Year,2013,,Car id,Citroen C1,,Condition
,Options,,Mileage,,Petrol,,Manual,Area,,Citroen,,Fuel Type,52 000 Km,,,"Air Conditioning, Power Steering, Automatic Brake System, Radio / CD, Air Bag, Central Locking                                                                                    ,
                                                                                                                                                        For more information on this vehicle please contact 0816654905. Great condition,lots of extras",,2013 Citroen DS4 1.6 Vti 120 Style 5dr,White,,R 159 900,Kwazulu Natal,64USD90875,2016/07/26,Transmission,,Car id,Year,2013,,,Citroen DS4,,Colour
,Fuel Type,,Mileage,,Manual,,Maroon,Options,,Citroen,,Transmission,85 000 Km,N/A,,Petrol,,2010 Citroen DS3 1.6 Vti Techno,Excellent,,R 95 000,"ABS, Air bags, Aircon, Alarm, Climate control, Electric Windows, Full service record, Motorplan, Radio, Xenon lights                                                                                    ,
                                                                                                                                                        2010 Citoen DS3 1.6 for sale in excellent condition and spotless,neat interior ,drives smoothly,accident free,available in cash and bank finance,contact DANIEL MOTORS on  0734941186 or whatsapp 0734941186",Gauteng,2016/07/26,Colour,,Area,Year,2010,,Car id,Citroen DS3,,Condition
,Fuel Type,,Mileage,,Manual,,Black,Options,,Citroen,,Transmission,64 000 Km,N/A,,Petrol,,2011 Citroen C3 1.6 Vti Exclusive,Excellent,,R 109 900,"Very Good condition
Finance is available
Trade in's Welcome
Optional Extended warranty is available
Optional Extended Service plan is available",Gauteng,2016/07/26,Colour,,Area,Year,2011,,Car id,Citroen C3,,Condition
,Options,,Mileage,,Petrol,,Manual,Area,,Citroen,,Fuel Type,82 000 Km,,,"VERY good condition perfect little spory run around in tow n.accident freeFullehouse , ew, ps, climate control etc...new tires",,2011 Citroen DS3 1.6 Thp Sport 3dr,white,,R 179 995,Western Cape,123,2016/07/26,Transmission,,Car id,Year,2011,,,Citroen DS3,,Colour
,Options,,Mileage,,Petrol,,Manual,Area,,Citroen,,Fuel Type,220 000 Km,,,"Aircon, Electric Windows, Radio                                                                                    ,
                                                                                                                                                        Kingsley: 078 0101113
Lenny: 081 3632608
Valdo: 079 3992999
Damon: 0812822234

Right Cars JHB 
Cnr Witkoppen Rd & Malibongwe Dr
Northriding Johannesburg 
(5 min from Northgate center)

Right Cars CT

70 Marine Dr.
Paarden Eiland
Cape Town

Open Mon 9.00-17.00,Tue-Thur 8.00-17.00, Frid 9.00-17.00, Sat & Public Holidays 8.00-15.00",,2005 Citroen C2 1.4i Vtr,Green,,R 34 900,Gauteng,N/A,2016/07/26,Transmission,,Car id,Year,2005,,,Citroen C2,,Colour
,Fuel Type,,Mileage,,Manual,,WHITE,Options,,Citroen,,Transmission,85 610 Km,SUHAIL,,Petrol,,2010 Citroen C1 1.0 Comfort,Excellent,,R 79 900,"Seller's comments
mags; aircon; power steeringR 79,900

Vehicle specifications
Body Type Hatchback
Colour White
Doors 5
Engine Capacity 1.0
Fuel Type Petrol
Mileage 85610
Owners 1
Service History full franchise service history
Transmission Manual
Transmission Drive Type front wheel drive Contact SUHAIL 0746645930",Gauteng,2016/07/26,Colour,,Area,Year,2010,,Car id,Citroen C1,,Condition
,Fuel Type,,Mileage,,Manual,,Blue,Options,,Citroen,,Transmission,95 000 Km,N/A,,Diesel,,2010 Citroen C3 1.4 Hdi,Excellent,,R 60 000,"ABS, Air bags, Aircon, Alarm, Electric Windows, Radio                                                                                    ,
                                                                                                                                                        Used 2010 Citroen C3 1.4 Hdi Blue color with 95000km in excellent condition
For more information call:
Office:011 051 0838
Fax: 011 354 0081
Lyon 0739061410 
Francinah 076 472 4095
Email:autoowinu@gmail.com",Gauteng,2016/07/26,Colour,,Area,Year,2010,,Car id,Citroen C3,,Condition
,Options,,Mileage,,Petrol,,Manual,Area,,Citroen,,Fuel Type,104 311 Km,,,"A/C, P/S, E/W, Tow bar
Call Natashia on 082 648 7189 or 073 859 5339 or e-mail on tash@autoi.co.za",,2011 Citroen DS3 1.6 Vti Style,Black,,R 119 900,Gauteng,CY27RHGP,2016/07/26,Transmission,,Car id,Year,2011,,,Citroen DS3,,Colour
,Fuel Type,,Mileage,,Manual,,WHITE,Options,,Citroen,,Transmission,83 000 Km,30MAL45102,,Diesel,,2012 Citroen DS3 1.6 E- Hdi Style (sportpack) 3dr,Excellent,,R 169 900,"Air conditioning, alloy wheels/rims, anti-lock braking system (ABS), autodim interior mirror, aux in (auxiliary input jack), Bluetooth connectivity, brake assist (BAS/EBA), CD player, climate control / automatic air conditioning, cloth upholstery, cruise control, curtain airbags, daytime driving/running lights, driver airbag, electric windows, electric-adjust mirrors, electronic brake distribution (EBD), engine auto-Stop/Start / idle stop / eco-stop, front fog lamps/lights, front passenger airbag, front side airbags, high-level (3rd) brake light, light sensor / automatic light control (auto on-off lights), multifunction steering wheel controls, on-board computer / multi-information display, park distance control (PDC) - rear, power steering, rain sensor (auto wipers), remote central locking, stability control, traction control, turbocharger, USB port",Western Cape,2016/07/26,Colour,,Area,Year,2012,,Car id,Citroen DS3,,Condition
,Fuel Type,,Mileage,,Manual,,WHITE,Options,,Citroen,,Transmission,91 000 Km,VERY WELL MAINTAINED CAR!!!!!!,,Petrol,,2010 Citroen C4 1.6 VTI SEDUCTION,Excellent,,R 69 900,"ABS, Air bags, Aircon, Alarm, Climate control, Cruise control, Electric Windows, Full service record, Radio                                                                                    ,
                                                                                                                                                        2 YEAR UN LTD MILEAGE WARRANTY
FINANCE AVAILABLE
AC
CENTRAL LOCKING
ALLOY MAGS
SPARE KEY",Gauteng,2016/07/26,Colour,,Area,Year,2010,,Car id,Citroen C4,,Condition
,Fuel Type,,Mileage,,Manual,,grey,Options,,Citroen,,Transmission,85 000 Km,N/A,,Petrol,,2010 Citroen C3 1.4 Attraction,Excellent,,R 89 900,"ABS, Aircon, Full service record, Radio                                                                                    ,
                                                                                                                                                        Immaculate, Diane 0767016131, Francois 0834551111, Niel 0834595393, Abe 0792517545",Gauteng,2016/07/26,Colour,,Area,Year,2010,,Car id,Citroen C3,,Condition
,Options,,Mileage,,Petrol,,Manual,Area,,Citroen,,Fuel Type,71 640 Km,,,"AIRCON, ELECTRIC WINDOWS, AIRBAGS, RADIO /CD, MAG WHEELS, ABS BRAKES                                                                                    ,
                                                                                                                                                        108 POINT QUALITY CHECK",,2012 Citroen DS3 1.6 Vti Techno,BLACKWH,,R 134 950,North West Province,27UCP66492,2016/07/26,Transmission,,Car id,Year,2012,,,Citroen DS3,,Colour
,Fuel Type,,Mileage,,Manual,,Silver,Options,,Citroen,,Transmission,7 000 Km,N/A,,Petrol,,2016 Citroen DS5 1.6 Thp Sport (147kw),Excellent,,R 328 900,"ABS, Air bags, Aircon, Alarm, Climate control, Cruise control, Electric Windows, Full service record, Leather seats, Motorplan, Park distance control, Radio, Sunroof                                                                                    ,
                                                                                                                                                        Make CITROEN
Model DS5 DerivativeTHP 200 Sport
Price R328900
Body Type Hatchback
Transmission Manual
Manufacture Year 2016
Colour Silver
Mileage 6600 KM
Doors 5
Contact : 
Dylan 079 923 8403
Strini 079 744 0770
Herman 084 303 9787
Dealership (012) 424 7600",Gauteng,2016/07/26,Colour,,Area,Year,2016,,Car id,Citroen DS5,,Condition
,Options,,Mileage,,Petrol,,Manual,Area,,Citroen,,Fuel Type,93 845 Km,,,"This is a Used car and is available at Barons Bellville. The vehicle is fitted with airconditioner, CD Player, electric windows, colour coded exterior, alloy wheels, ABS brakes, central locking with alarm power steering and airbags.  
Trade ins accepted. Finance available 
This is a Used car and is available at Barons Bellville. The vehicle is fitted with airconditioner, CD Player, electric windows, colour coded exterior, alloy wheels, ABS brakes, central locking with alarm power steering and airbags.",,2010 Citroen C3 Picasso 1.6 Vti Seduction,Silver,,R 89 500,Western Cape,U24105,2016/07/26,Transmission,,Car id,Year,2010,,,Citroen C3,,Colour
,Fuel Type,,Mileage,,Manual,,White,Options,,Citroen,,Transmission,9 500 Km,N/A,,Diesel,,2015 Citroen Relay 3.0HDi 180 L4H2 19-Seat,New,,R 389 995,"ABS, Aircon, Alarm, Electric Windows, Full service record, Radio, Towbar                                                                                    ,
                                                                                                                                                        Flat Screen Tv, Laser Projector, Smoke Machine ( Fogger ), Side Steps
Contact Jacques : 074 298 3076 or Quan: 082 339 1486",Western Cape,2016/07/26,Colour,,Area,Year,2015,,Car id,Citroen Relay,,Condition
,Fuel Type,,Mileage,,Manual,,BLUE,Options,,Citroen,,Transmission,202 000 Km,N/A,,Petrol,,2004 Citroen C2 1.4i VTR,Good,,R 47 995,"ABS, Air bags, Aircon, Alarm, Electric Windows, Radio                                                                                    ,
                                                                                                                                                        GOOD CONDITION E/W SPARE KEYS FUEL SAVER. ALL OUR VEHICLES ARE SOLD CASH ONLY(E.F.T). NO FINANCE AVAILABLE. CONTACT OUR SALES TEAM ON 0110271115, IMO 0794334400 OR MUHAMMED 0721403464 . SPEEDSTER CAR SALES. 2 ENGEL ROAD CNR TRICHARDTS ROAD BOKBURG.",Gauteng,2016/07/26,Colour,,Area,Year,2004,,Car id,Citroen C2,,Condition
,Options,,Mileage,,Petrol,,Manual,Area,,Citroen,,Fuel Type,163 000 Km,,,"A/c , P/s , R/cd , E/w                                                                                    ,
                                                                                                                                                        Optional 2 Year Warranty , Finance Available , Trade Inns Welcome",,2007 Citroen C2 1.4i Vtr,Maroon,,R 49 990,Kwazulu Natal,citroen,2016/07/26,Transmission,,Car id,Year,2007,,,Citroen C2,,Colour
,Options,,Mileage,,Petrol,,Manual,Area,,Citroen,,Fuel Type,142 000 Km,,,"Air Conditioning, Power Steering, Radio / CD, Air Bag, Central Locking                                                                                    ,
                                                                                                                                                        For more information on this vehicle please contact 0816416627. Citroen has always appealed to buyers with an eye for a bargain, this is no exception. This model look racy, and the model range is straightforward and biased towards younger buyers. Full service history and spare keys all available",,2007 Citroen C3 1.6 Furio,Blue,,R 59 900,Gauteng,44USD61225,2016/07/26,Transmission,,Car id,Year,2007,,,Citroen C3,,Colour
,Fuel Type,,Mileage,,Manual,,White,Options,,Citroen,,Transmission,30 000 Km,N/A,,Petrol,,2014 Citroen C1 1.0 Comfort,Excellent,,R 89 950,* Balance of warranty * Full service history * 5 Speed manual * Power steering * Aircon * Front electric windows * Radio/CD. Trade ins welcome Finance available. Call Duan 0765215526,North West Province,2016/07/26,Colour,,Area,Year,2014,,Car id,Citroen C1,,Condition
,Options,,Mileage,,Petrol,,Manual,Area,,Citroen,,Fuel Type,115 244 Km,,,"AIRCONDITIONING, POWER STEERING, RADIO/CD, CENTRAL LOCKING, ELECTRIC WINDOWS, ELECTRIC MIRRORS, ALLOY WHEELS, MULTI FUNCTION STEERING, CRUISE CONTROL.                                                                                    ,
                                                                                                                                                        Please enquire about our range of Value Added Products that may be of benefit to you.",,2011 Citroen C4 1.6 Vti Seduction Coupe,Maroon,,R 113 990,Kwazulu Natal,244-19324,2016/07/26,Transmission,,Car id,Year,2011,,,Citroen C4,,Colour
,Fuel Type,,Mileage,,Manual,,Silver,Options,,Citroen,,Transmission,96 237 Km,N/A,,Petrol,,2010 Citroen C3 Picasso 1.6 Vti Seduction Pan,Excellent,,R 109 900,"ABS, Air bags, Aircon, Alarm, Electric Windows, Full service record, Radio, Sunroof                                                                                    ,
                                                                                                                                                        Contact Jannie 0791707720,",Gauteng,2016/07/26,Colour,,Area,Year,2010,,Car id,Citroen C3,,Condition
,Fuel Type,,Mileage,,Manual,,Silver With Black Roof,Options,,Citroen,,Transmission,16 Km,800280,,Petrol,,2016 Citroen DS3 1.6 E-THP Sport 3-Door (120kW),Excellent,,R 283 900,"ABS, EBS, brake assist, stability control, power steering, central locking, aircon, climate control, CD player, AUX input, USB port",Gauteng,2016/07/26,Colour,,Area,Year,2016,,Car id,Citroen DS3,,Condition
,Fuel Type,,Mileage,,Manual,,Ruby Red Metallic,Options,,Citroen,,Transmission,19 747 Km,35690,,Petrol,,2015 Citroen C3 1.0 VTi 68 Attraction,Excellent,,R 149 900,"Manual Aircon, Metallic Paint. Please contact Kelston Motor Group on 0712313134 for any assistance.",Eastern Cape,2016/07/26,Colour,,Area,Year,2015,,Car id,Citroen C3,,Condition
,Fuel Type,,Mileage,,Automatic,,Pearl White,Options,,Citroen,,Transmission,17 000 Km,801611,,Diesel,,2015 Citroen DS4 2.0 HDi 160 Sport 5-Door Auto,excellent,,R 279 900,"ABS, EBS, brake assist, hill start assist, stability control, power steering, central locking, aircon, climate control, CD player, AUX input, USB port",Gauteng,2016/07/26,Colour,,Area,Year,2015,,Car id,Citroen DS4,,Condition
,Fuel Type,,Mileage,,Manual,,Bright white,Options,,Citroen,,Transmission,24 000 Km,801602,,Diesel,,2014 Citroen C4 Picasso 1.6 e HDi Seduction,excellent,,R 194 900,"ABS, EBS, brake assist, hill start assist, stability control, power steering, central locking, aircon, climate control, AUX input, USB port",Gauteng,2016/07/26,Colour,,Area,Year,2014,,Car id,Citroen C4,,Condition
,Options,,Mileage,,Petrol,,Manual,Area,,Citroen,,Fuel Type,45 000 Km,,,"Packing Distance Control- rear, Emergency spare wheel, Leather seats, Electric windows, Electric Mirrors, Power steering, Radio, CD Player, USB, Aux, Bluetooth, Climate control and more. Please contact us for a full list of features. 
There is nothing like the best. For the pinnacle in service please call one of our 2ndtier consultants for your personal test drive. Club Motors Randburg.  Bongani 082 499 8244; Tracy 072 168 1258; Julie 083 390 1099; Rita 073 807 4903; Jaco 083 565 2433; Sinqobile 073 930",,2013 Citroen DS3 1.6 Thp Ultra Prestige 3dr,Artic Silver & Black Roof,,R 159 900,Gauteng,U108793,2016/07/26,Transmission,,Car id,Year,2013,,,Citroen DS3,,Colour
,Options,,Mileage,,Petrol,,Manual,Area,,Citroen,,Fuel Type,101 000 Km,,,"Radio, CD, Power steering, electric windows, central locking, airbags, ABS, EBD, EBA and lots more.                                                                                    ,
                                                                                                                                                        This vehicle is available at this never to be repeated price at, 361 Beyers Naude Drive, Northcliff.  Come and inspect the car here and also do a test drive.  While you are doing that we will do a trade-in appraisal free of charge.  We will also assist you to arrange finance with any of the major finance houses for your new car.",,2011 Citroen DS3 1.6 Thp Sport 3dr,White,,R 149 900,Gauteng,73CIT26825,2016/07/26,Transmission,,Car id,Year,2011,,,Citroen DS3,,Colour
,Fuel Type,,Mileage,,Manual,,Black,Options,,Citroen,,Transmission,800 Km,528219,,Petrol,,2016 Citroen DS5 1.6 Thp Sport (147kw),Excellent,,R 329 990,"Finance available, Trade-In's welcome. Price excludes on the road fees and any additional extra options. Please contact our used car department for assistance. Lee 081 329 9081 or Sixolile 076 724 4798 or Russell 076 287 5852",Gauteng,2016/07/26,Colour,,Area,Year,2016,,Car id,Citroen DS5,,Condition
,Options,,Mileage,,Manual,,Grey,Area,,Citroen,,Transmission,42 000 Km,,,"Sat nav                                                                                    ,
                                                                                                                                                        Balance of 5y/100000 km S/Plan. Finance available, Trade-In's welcome. Price excludes on the road fees and any additional extra options. Please contact our used car department for assistance. Lee 081 329 9081 or Sixolile 076 724 4798 or Russell 076 287 5852",,2015 Citroen Picasso 1.6 Hdi,Excellent,,R 249 990,Gauteng,90657,2016/07/26,Colour,,Car id,Year,2015,,,Citroen Picasso,,Condition
,Options,,Mileage,,Petrol,,Manual,Area,,Citroen,,Fuel Type,86 000 Km,,,"5 Doors, Manual, Air conditioning, Airbag double and side, Alarm, Alloy wheels, Auto lights and wipers, Armrest, Central locking, Chair heating, Climate control, Computer, Cruise Control, Electric mirrors and windows, Fog lights, IPOD / USB ready, Leather seats, Multi-Function steering wheel, Park Distance Control, Panoramic roof, Radio with CD player, Bluetooth, Reversing camera, Xenon lights, Daytime LED lights                                                                                    ,
                                                                                                                                                        For more information on this vehicle please contact 0816409634. You will really like the DS5 - the look of it inside and out and the feel. It's economical, luxuriously equipped and can be an engaging drive. Definitely worth a look.",,2012 Citroen DS5  1.6 Thp Sport (147kw),Grey,,R 199 900,Gauteng,86USD97655,2016/07/26,Transmission,,Car id,Year,2012,,,Citroen DS5,,Colour
,Options,,Mileage,,Petrol,,Manual,Area,,Citroen,,Fuel Type,142 380 Km,,,"Air bags, Aircon, Alarm, Electric Windows, Radio                                                                                    ,
                                                                                                                                                        CASH ONLY EAST RAND BOKSBURG",,2007 Citroen C2 1.6i Vts,RED,,R 49 995,Gauteng,N/A,2016/07/26,Transmission,,Car id,Year,2007,,,Citroen C2,,Colour
,Options,,Year,,Petrol,,Manual,Area,,Citroen,,Fuel Type,2016,,,. Please contact Kelston Motor Group on 0712313134 for any assistance.,,2016 Citroen C4 Cactus 1.2t Puretech Feel (81kw),Pearl White,,R 229 995,Eastern Cape,38285,2016/07/26,Transmission,,Car id,Condition,Excellent,,,Citroen C4,,Colour
,Options,,Year,,Petrol,,Manual,Area,,Citroen,,Fuel Type,2016,,,"B/Tooth, 4yr/60000km S/Plan. 3yr/100000km W/tee. Finance available Trade-In's welcome. Price excludes on the road fees and any additional extras. Please contact us at Citroen Hatfield : 012 432 0700",,2016 Citroen DS3 1.2 Puretech Design 3-Door (60KW),Any,,R 264 990,Gauteng,00002,2016/07/26,Transmission,,Car id,Condition,New,,,Citroen DS3,,Colour
,Options,,Year,,Petrol,,Manual,Area,,Citroen,,Fuel Type,2016,,,"Standard with B/T, Mags. 81 kw. 4yr/60000km S/Plan. Finance available Trade-In's welcome. Price excludes on the road fees and any additional extras. Please contact us at Citroen Hatfield : 012 432 0700",,2016 Citroen DS3 1.2 Puretech Style Cabriolet (81kW),Any,,R 339 990,Gauteng,00003,2016/07/26,Transmission,,Car id,Condition,New,,,Citroen DS3,,Colour
,Options,,Mileage,,Petrol,,Manual,Area,,Citroen,,Fuel Type,33 750 Km,,,"What a little beast of a car!!!Very clean vehicle with a Full Sunroof that you can see to the Moon!!!And it is Full House with everything in that you want and need!!!!Very clean with aircon,powersteering,electric windows,leather seats,ABS braking,17Magwheels,With lots lots more!!!What a car!!!!                                                                                    ,
                                                                                                                                                        What a little beast of a car!!!Very clean with Very low KM for the yearmodel!!FSH at Citroen!!!And it is Fast!!!Very clean!!!What a car!!!",,2013 Citroen DS3 Cabrio 1.6 THP Sport,Yellow,,R 179 900,Gauteng,506230,2016/07/26,Transmission,,Car id,Year,2013,,,Citroen DS3,,Colour
,Fuel Type,,Mileage,,Manual,,BELLE-ILE BLUE & WHITE,Options,,Citroen,,Transmission,74 800 Km,20160613,,Petrol,,2012 Citroen DS3 1.6 Thp Sport 3dr,Excellent,,R 145 990,"ABS, Air bags, Aircon, Alarm, Climate control, Electric Windows, Full service record, Radio                                                                                    ,
                                                                                                                                                        EXCEPTIONALLY GOOD CONDITION A BARGAIN not to miss... please call me on 0793078540 SELLO RAMMALA",Gauteng,2016/07/26,Colour,,Area,Year,2012,,Car id,Citroen DS3,,Condition
